Spark Command: /usr/lib/jvm/java-8-openjdk-amd64/jre/bin/java -cp /opt/spark-2.3.4-bin-hadoop2.7/conf/:/opt/spark-2.3.4-bin-hadoop2.7/jars/* -Xmx1g org.apache.spark.deploy.worker.Worker --webui-port 8081 spark://fe3130887cc6:7077
========================================
2021-09-23 07:01:09 INFO  Worker:2612 - Started daemon with process name: 1660@fe3130887cc6
2021-09-23 07:01:10 INFO  SignalUtils:54 - Registered signal handler for TERM
2021-09-23 07:01:10 INFO  SignalUtils:54 - Registered signal handler for HUP
2021-09-23 07:01:10 INFO  SignalUtils:54 - Registered signal handler for INT
2021-09-23 07:01:12 WARN  NativeCodeLoader:62 - Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2021-09-23 07:01:12 INFO  SecurityManager:54 - Changing view acls to: root
2021-09-23 07:01:12 INFO  SecurityManager:54 - Changing modify acls to: root
2021-09-23 07:01:12 INFO  SecurityManager:54 - Changing view acls groups to: 
2021-09-23 07:01:12 INFO  SecurityManager:54 - Changing modify acls groups to: 
2021-09-23 07:01:12 INFO  SecurityManager:54 - SecurityManager: authentication disabled; ui acls disabled; users  with view permissions: Set(root); groups with view permissions: Set(); users  with modify permissions: Set(root); groups with modify permissions: Set()
2021-09-23 07:01:13 INFO  Utils:54 - Successfully started service 'sparkWorker' on port 40133.
2021-09-23 07:01:14 INFO  Worker:54 - Starting Spark worker 172.18.0.2:40133 with 2 cores, 6.3 GB RAM
2021-09-23 07:01:14 INFO  Worker:54 - Running Spark version 2.3.4
2021-09-23 07:01:14 INFO  Worker:54 - Spark home: /opt/spark-2.3.4-bin-hadoop2.7
2021-09-23 07:01:14 INFO  log:192 - Logging initialized @7552ms
2021-09-23 07:01:15 INFO  Server:351 - jetty-9.3.z-SNAPSHOT, build timestamp: unknown, git hash: unknown
2021-09-23 07:01:15 INFO  Server:419 - Started @7835ms
2021-09-23 07:01:15 WARN  Utils:66 - Service 'WorkerUI' could not bind on port 8081. Attempting port 8082.
2021-09-23 07:01:15 WARN  Utils:66 - Service 'WorkerUI' could not bind on port 8082. Attempting port 8083.
2021-09-23 07:01:15 WARN  Utils:66 - Service 'WorkerUI' could not bind on port 8083. Attempting port 8084.
2021-09-23 07:01:15 INFO  AbstractConnector:278 - Started ServerConnector@155d8499{HTTP/1.1,[http/1.1]}{0.0.0.0:8084}
2021-09-23 07:01:15 INFO  Utils:54 - Successfully started service 'WorkerUI' on port 8084.
2021-09-23 07:01:15 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@65bc9a20{/logPage,null,AVAILABLE,@Spark}
2021-09-23 07:01:15 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@1ab57e4f{/logPage/json,null,AVAILABLE,@Spark}
2021-09-23 07:01:15 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@700a31d6{/,null,AVAILABLE,@Spark}
2021-09-23 07:01:15 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@31e9d3af{/json,null,AVAILABLE,@Spark}
2021-09-23 07:01:15 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@9f84db{/static,null,AVAILABLE,@Spark}
2021-09-23 07:01:15 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@766d85dc{/log,null,AVAILABLE,@Spark}
2021-09-23 07:01:15 INFO  WorkerWebUI:54 - Bound WorkerWebUI to 0.0.0.0, and started at http://fe3130887cc6:8084
2021-09-23 07:01:15 INFO  Worker:54 - Connecting to master fe3130887cc6:7077...
2021-09-23 07:01:15 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@2d1e8596{/metrics/json,null,AVAILABLE,@Spark}
2021-09-23 07:01:15 INFO  TransportClientFactory:267 - Successfully created connection to fe3130887cc6/172.18.0.2:7077 after 180 ms (0 ms spent in bootstraps)
2021-09-23 07:01:16 INFO  Worker:54 - Successfully registered with master spark://fe3130887cc6:7077
